sequence,frames_pure,frames_update,auc_pure,auc_update,auc_delta,success50_pure,success50_update,success50_delta,precision20_pure,precision20_update,precision20_delta,fps_pure,fps_update,fps_delta
Basketball,725,725,0.491069,0.545414,0.054345,0.365517,0.471724,0.106207,0.867586,0.990345,0.122759,37.150396,33.829244,-3.321152
Biker,142,142,0.271655,0.281514,0.009859,0.746479,0.746479,0.000000,0.464789,0.612676,0.147887,40.810615,50.125954,9.315339
Bird1,408,408,0.071017,0.124571,0.053554,0.955882,0.933824,-0.022058,0.088235,0.218137,0.129902,190.551860,57.795692,-132.756168
Bird2,99,99,0.611616,0.617172,0.005556,0.414141,0.414141,0.000000,0.585859,0.575758,-0.010101,29.166693,28.764120,-0.402573
BlurBody,334,334,0.637500,0.692290,0.054790,0.155689,0.005988,-0.149701,0.970060,0.997006,0.026946,19.636312,31.005971,11.369659
BlurCar1,742,742,0.857379,0.810377,-0.047002,0.001348,0.001348,0.000000,0.995957,0.995957,0.000000,28.328894,34.909079,6.580185
BlurCar2,585,585,0.822350,0.723205,-0.099145,0.015385,0.001709,-0.013676,0.993162,1.000000,0.006838,21.193514,24.667213,3.473699
BlurCar3,357,357,0.845168,0.854972,0.009804,0.002801,0.002801,0.000000,0.997199,0.997199,0.000000,23.376398,24.317330,0.940932
BlurCar4,380,380,0.725921,0.844737,0.118816,0.005263,0.000000,-0.005263,1.000000,1.000000,0.000000,18.307040,26.426922,8.119882
BlurFace,493,493,0.771755,0.781998,0.010243,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,24.897920,30.315662,5.417742
BlurOwl,631,631,0.776347,0.802655,0.026308,0.007924,0.001585,-0.006339,0.992076,0.995246,0.003170,39.624378,42.133434,2.509056
Board,698,698,0.587213,0.575179,-0.012034,0.296562,0.297994,0.001432,0.703438,0.702006,-0.001432,28.197687,42.528050,14.330363
Bolt,350,350,0.646929,0.437929,-0.209000,0.008571,0.934286,0.925715,1.000000,1.000000,0.000000,35.196659,48.262882,13.066223
Bolt2,293,293,0.035154,0.035154,0.000000,0.989761,0.989761,0.000000,0.017065,0.017065,0.000000,49.559236,22.334267,-27.224969
Box,1161,1161,0.324677,0.318432,-0.006245,0.606374,0.613264,0.006890,0.395349,0.395349,0.000000,23.145422,27.424437,4.279015
Boy,602,602,0.794601,0.804236,0.009635,0.026578,0.003322,-0.023256,1.000000,1.000000,0.000000,49.807341,64.350174,14.542833
Car1,1020,1020,0.403995,0.338897,-0.065098,0.777451,0.777451,0.000000,1.000000,0.735294,-0.264706,54.855963,49.215718,-5.640245
Car2,913,913,0.406188,0.702930,0.296742,0.579409,0.001095,-0.578314,0.420591,1.000000,0.579409,55.147627,53.357258,-1.790369
Car24,3059,3059,0.433516,0.434374,0.000858,0.827395,0.827395,0.000000,1.000000,1.000000,0.000000,38.545037,38.008307,-0.536730
Car4,659,659,0.823748,0.407208,-0.416540,0.000000,0.740516,0.740516,1.000000,0.971168,-0.028832,47.945455,46.015694,-1.929761
CarDark,393,393,0.888931,0.878499,-0.010432,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,50.895431,48.879740,-2.015691
CarScale,252,252,0.666766,0.560615,-0.106151,0.289683,0.357143,0.067460,0.730159,0.718254,-0.011905,62.683174,81.452989,18.769815
ClifBar,472,472,0.453972,0.478655,0.024683,0.610169,0.527542,-0.082627,0.809322,0.807203,-0.002119,83.857941,92.081033,8.223092
Coke,291,291,0.535309,0.498711,-0.036598,0.378007,0.573883,0.195876,0.917526,0.914089,-0.003437,50.312372,57.369307,7.056935
Couple,140,140,0.651964,0.645536,-0.006428,0.214286,0.221429,0.007143,1.000000,1.000000,0.000000,33.821752,47.521599,13.699847
Coupon,327,327,0.916208,0.786850,-0.129358,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,27.453236,26.840667,-0.612569
Crossing,120,120,0.715208,0.714792,-0.000416,0.050000,0.050000,0.000000,1.000000,1.000000,0.000000,42.258725,55.582915,13.324190
Crowds,347,347,0.629683,0.725072,0.095389,0.017291,0.069164,0.051873,1.000000,1.000000,0.000000,35.871772,44.117413,8.245641
Dancer,225,225,0.716111,0.750444,0.034333,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,26.692283,26.813016,0.120733
Dancer2,150,150,0.717000,0.745167,0.028167,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,22.859249,23.120281,0.261032
