sequence,frames,auc_update,auc_pure,success50_update,success50_pure,precision20_update,precision20_pure,fps_update,fps_pure,delta_auc
Basketball,725,0.5892,0.4911,0.7200,0.6345,1.0000,0.8676,15.6971,15.2865,0.0981
Biker,142,0.2673,0.2717,0.2535,0.2535,0.4437,0.4648,42.7057,32.8258,-0.0044
Bird1,408,0.1862,0.0710,0.1152,0.0441,0.3701,0.0882,46.2035,142.2923,0.1152
Bird2,99,0.5965,0.6116,0.5253,0.5859,0.5354,0.5859,19.9997,15.9984,-0.0152
BlurBody,334,0.5010,0.6375,0.6647,0.8443,0.6587,0.9701,12.9620,7.9958,-0.1365
BlurCar1,742,0.0464,0.8574,0.0243,0.9987,0.0243,0.9960,386.6156,15.0151,-0.8111
BlurCar2,585,0.5683,0.8224,0.6513,0.9846,0.4786,0.9932,23.2130,15.9243,-0.2540
BlurCar3,357,0.2208,0.8452,0.2381,0.9972,0.2381,0.9972,32.6250,21.9909,-0.6244
BlurCar4,380,0.8409,0.7259,1.0000,0.9947,1.0000,1.0000,14.9433,9.1016,0.1150
BlurFace,493,0.5881,0.7718,0.6653,1.0000,0.6653,1.0000,29.6413,13.9041,-0.1837
BlurOwl,631,0.2031,0.7763,0.2203,0.9921,0.2219,0.9921,23.8207,17.0738,-0.5732
Board,698,0.6283,0.5872,0.7020,0.7034,0.6977,0.7034,30.3650,18.0216,0.0411
Bolt,350,0.6094,0.6469,0.9714,0.9914,1.0000,1.0000,23.7189,18.4601,-0.0376
Bolt2,293,0.0352,0.0352,0.0102,0.0102,0.0171,0.0171,73.7131,26.2100,0.0000
Box,1161,0.1124,0.3247,0.1077,0.3936,0.1275,0.3953,19.7275,15.0854,-0.2123
Boy,602,0.1576,0.7946,0.1611,0.9734,0.1611,1.0000,59.5686,38.3807,-0.6370
Car1,1020,0.5304,0.4040,0.4176,0.2225,1.0000,1.0000,18.2250,16.4314,0.1264
Car2,913,0.8110,0.4062,1.0000,0.4206,1.0000,0.4206,23.0036,20.1277,0.4048
Car24,3059,0.3576,0.4339,0.1550,0.1726,1.0000,1.0000,75.8300,59.0064,-0.0764
Car4,659,0.6728,0.8237,0.9742,1.0000,1.0000,1.0000,78.4673,64.9165,-0.1510
CarDark,393,0.8878,0.8889,1.0000,1.0000,1.0000,1.0000,27.4569,22.8340,-0.0011
CarScale,252,0.6120,0.6668,0.6746,0.7103,0.7222,0.7302,52.3547,35.1290,-0.0548
ClifBar,472,0.1348,0.4540,0.1186,0.3919,0.1674,0.8093,56.1287,46.3892,-0.3192
Coke,291,0.1348,0.5350,0.1237,0.6220,0.1890,0.9175,30.1637,22.4965,-0.4002
Couple,140,0.3291,0.6520,0.4000,0.7857,0.4000,1.0000,53.9044,35.5956,-0.3229
Coupon,327,0.6502,0.9162,0.9144,1.0000,1.0000,1.0000,28.4992,24.7860,-0.2660
Crossing,120,0.7077,0.7152,0.9500,0.9667,1.0000,1.0000,59.3437,42.2763,-0.0075
Crowds,347,0.7104,0.6297,0.9164,0.9827,1.0000,1.0000,47.9299,36.2749,0.0807
Dancer,225,0.7304,0.7161,1.0000,1.0000,1.0000,1.0000,29.0528,25.3620,0.0143
Dancer2,150,0.7525,0.7170,1.0000,1.0000,1.0000,1.0000,28.4581,22.2285,0.0355
David,471,0.2476,0.2495,0.1125,0.1104,0.2484,0.2484,26.8361,21.8464,-0.0019
David2,537,0.7580,0.7392,1.0000,0.8883,1.0000,1.0000,66.8961,58.3449,0.0187
David3,252,0.7497,0.7779,1.0000,1.0000,1.0000,1.0000,28.7940,22.4214,-0.0282
Deer,71,0.1197,0.8085,0.1268,1.0000,0.1268,1.0000,134.0791,22.2780,-0.6887
Diving,215,0.3688,0.2667,0.1860,0.1860,0.6372,0.3907,26.9098,36.6748,0.1021
Dog,127,0.5386,0.4850,0.6772,0.3858,1.0000,1.0000,27.4506,22.2289,0.0535
Dog1,1350,0.6978,0.7019,0.9356,0.9993,0.9726,1.0000,48.7185,41.1103,-0.0041
Doll,3872,0.2137,0.7413,0.2482,0.9930,0.2500,0.9876,38.1038,30.3317,-0.5276
DragonBaby,113,0.0894,0.1332,0.0885,0.1239,0.0885,0.1327,311.6077,152.4952,-0.0438
Dudek,1145,0.7106,0.7834,0.9572,0.9904,0.6690,0.8262,71.3680,35.9109,-0.0729
FaceOcc1,892,0.5451,0.5716,0.6031,0.6906,0.5460,0.7074,25.2996,14.9411,-0.0265
FaceOcc2,812,0.7418,0.7096,0.9988,0.9138,0.9975,1.0000,29.7345,23.9919,0.0322
Fish,476,0.8071,0.7827,1.0000,1.0000,1.0000,1.0000,28.8065,23.6993,0.0245
FleetFace,707,0.4810,0.5901,0.5332,0.6322,0.4328,0.5601,37.4872,23.1918,-0.1090
Football,362,0.5831,0.5855,0.7735,0.7845,0.8011,0.7928,45.3673,38.6127,-0.0024
Football1,74,0.4003,0.7899,0.4459,1.0000,0.4595,1.0000,60.7167,36.7781,-0.3895
Freeman1,326,0.3077,0.2209,0.1626,0.1534,0.6748,0.3804,35.9090,43.8448,0.0869
Freeman3,460,0.3414,0.3536,0.3000,0.3304,0.7913,0.9043,36.9498,35.3095,-0.0122
Freeman4,283,0.2102,0.1552,0.2297,0.1590,0.3993,0.2049,24.7742,84.3726,0.0550
Girl,500,0.5722,0.6610,0.6080,0.8880,1.0000,1.0000,43.4086,33.0020,-0.0888
Girl2,1500,0.0796,0.0790,0.0707,0.0693,0.0700,0.0700,28.8893,20.7132,0.0007
Gym,767,0.2943,0.2955,0.0209,0.0248,0.9752,0.9700,33.4936,27.1179,-0.0012
Human2,1128,0.5569,0.3525,0.5612,0.2988,0.2704,0.4858,24.8091,20.2304,0.2044
Human3,1698,0.1979,0.2471,0.1885,0.3251,0.3610,0.3651,31.7599,25.0856,-0.0492
Human4_2,667,0.5768,0.5712,0.8321,0.8186,0.8666,0.8636,52.6404,38.3379,0.0056
Human5,713,0.3217,0.3767,0.3436,0.3450,0.4544,0.9944,69.1261,53.8643,-0.0550
Human6,792,0.2236,0.2834,0.2260,0.2260,0.2854,0.8106,91.8778,30.5971,-0.0598
Human7,250,0.6721,0.7665,0.9760,0.9960,0.9800,1.0000,27.1259,22.4751,-0.0944
Human8,128,0.4994,0.5318,0.2812,0.3828,1.0000,1.0000,26.6198,22.2230,-0.0324
Human9,305,0.5608,0.4218,0.5607,0.2852,1.0000,1.0000,30.5231,24.1012,0.1390
Ironman,166,0.1309,0.1041,0.1145,0.0904,0.1325,0.1145,30.7556,32.2733,0.0268
Jogging,307,0.7121,0.5958,0.9707,0.9414,0.9772,0.9772,27.5096,22.4429,0.1163
Jump,122,0.0707,0.0746,0.0492,0.0574,0.0492,0.0574,25.8158,16.9873,-0.0039
Jumping,313,0.1524,0.6706,0.1661,0.9872,0.1725,0.9904,61.3462,50.7862,-0.5182
KiteSurf,84,0.2622,0.3348,0.2857,0.3810,0.2857,0.4048,36.1195,34.3742,-0.0726
Lemming,1336,0.1573,0.4575,0.1707,0.3593,0.1707,0.7972,26.9009,23.0381,-0.3002
Liquor,1741,0.5685,0.3379,0.6198,0.4268,0.6134,0.4285,30.5087,24.1458,0.2306
Man,134,0.8371,0.8509,1.0000,1.0000,1.0000,1.0000,85.9318,58.4677,-0.0138
Matrix,100,0.0358,0.0353,0.0100,0.0100,0.0100,0.0100,294.5417,18.9492,0.0005
Mhyang,1490,0.5553,0.7941,0.5034,0.9993,1.0000,1.0000,19.1018,16.4874,-0.2388
MotorRolling,164,0.1053,0.1066,0.0610,0.0793,0.0488,0.0549,21.8773,17.7089,-0.0012
MountainBike,228,0.7400,0.5641,1.0000,0.6623,1.0000,1.0000,27.6240,23.2215,0.1759
Panda,1000,0.3628,0.3651,0.2940,0.3010,0.7820,0.7810,20.2357,16.5871,-0.0023
RedTeam,1918,0.5186,0.5175,0.6330,0.6277,1.0000,1.0000,26.7899,22.6520,0.0011
Rubik,1997,0.6198,0.3704,0.7111,0.1622,0.6435,0.3225,70.2335,53.9118,0.2493
Shaking,365,0.0593,0.0373,0.0384,0.0137,0.0384,0.0137,102.0615,112.9568,0.0221
Singer1,351,0.8077,0.8071,1.0000,1.0000,1.0000,1.0000,14.2288,10.2041,0.0006
Singer2,366,0.0617,0.0599,0.0355,0.0355,0.0355,0.0355,18.4766,15.4492,0.0018
Skater,160,0.6417,0.6131,0.9187,0.8500,0.9625,0.9938,20.7308,18.0004,0.0286
Skater2,435,0.5324,0.5459,0.5655,0.6207,0.7402,0.6414,20.5023,16.4359,-0.0136
Skating1,400,0.5486,0.3182,0.6650,0.4300,0.9600,0.4500,14.9954,15.6949,0.2303
Skating2_1,473,0.3031,0.3331,0.2854,0.2791,0.4334,0.4059,17.6901,12.0636,-0.0300
Skating2_2,473,0.3706,0.5091,0.2156,0.5560,0.1353,0.4292,19.1986,13.7009,-0.1385
Skiing,81,0.1728,0.0821,0.1111,0.0617,0.3210,0.0988,22.7823,19.1823,0.0907
Soccer,392,0.3189,0.1765,0.1505,0.1327,0.3393,0.1327,14.2040,10.7341,0.1425
Subway,175,0.6740,0.6854,0.9886,0.9943,1.0000,1.0000,42.5984,30.6566,-0.0114
Surfer,376,0.0554,0.5220,0.0399,0.4521,0.0399,1.0000,27.9052,22.2502,-0.4666
Suv,945,0.6267,0.2373,0.6942,0.0698,0.6878,0.5280,22.1766,20.6221,0.3895
Sylvester,1345,0.6529,0.4024,0.8097,0.1323,0.8885,0.9264,18.5495,15.2319,0.2505
Tiger1,354,0.0690,0.7622,0.0508,0.9746,0.0508,0.9463,22.1437,16.7698,-0.6932
Tiger2,365,0.0952,0.4408,0.1068,0.4082,0.1096,0.4904,32.7380,24.1729,-0.3456
Toy,271,0.2507,0.4183,0.2583,0.4649,0.3026,0.6421,47.3386,44.8691,-0.1675
Trans,124,0.5296,0.5240,0.4435,0.3952,0.4032,0.3710,14.2149,7.0330,0.0056
Trellis,569,0.6417,0.5960,0.9666,0.8436,1.0000,1.0000,16.7305,14.0333,0.0458
Twinnings,472,0.5050,0.7114,0.4047,0.8814,0.9979,0.8898,21.0149,19.3168,-0.2064
Vase,271,0.2703,0.3625,0.2103,0.1845,0.4170,0.6790,23.1674,19.0668,-0.0923
Walking,412,0.6513,0.6723,0.9320,0.9782,1.0000,1.0000,20.4892,14.6304,-0.0210
Walking2,500,0.5276,0.8049,0.4840,1.0000,0.6800,1.0000,18.2530,15.6708,-0.2772
Woman,597,0.6725,0.6679,0.9246,0.9179,0.9430,1.0000,18.0258,15.6070,0.0046
OVERALL,58733,0.4384,0.5117,0.4872,0.5693,0.6203,0.7562,29.5396,22.6613,-0.0733
