sequence,frames,auc,success50,precision20,fps
Basketball,725,0.545414,0.471724,0.990345,33.829244
Biker,142,0.281514,0.746479,0.612676,50.125954
Bird1,408,0.124571,0.933824,0.218137,57.795692
Bird2,99,0.617172,0.414141,0.575758,28.764120
BlurBody,334,0.692290,0.005988,0.997006,31.005971
BlurCar1,742,0.810377,0.001348,0.995957,34.909079
BlurCar2,585,0.723205,0.001709,1.000000,24.667213
BlurCar3,357,0.854972,0.002801,0.997199,24.317330
BlurCar4,380,0.844737,0.000000,1.000000,26.426922
BlurFace,493,0.781998,0.000000,1.000000,30.315662
BlurOwl,631,0.802655,0.001585,0.995246,42.133434
Board,698,0.575179,0.297994,0.702006,42.528050
Bolt,350,0.437929,0.934286,1.000000,48.262882
Bolt2,293,0.035154,0.989761,0.017065,22.334267
Box,1161,0.318432,0.613264,0.395349,27.424437
Boy,602,0.804236,0.003322,1.000000,64.350174
Car1,1020,0.338897,0.777451,0.735294,49.215718
Car2,913,0.702930,0.001095,1.000000,53.357258
Car24,3059,0.434374,0.827395,1.000000,38.008307
Car4,659,0.407208,0.740516,0.971168,46.015694
CarDark,393,0.878499,0.000000,1.000000,48.879740
CarScale,252,0.560615,0.357143,0.718254,81.452989
ClifBar,472,0.478655,0.527542,0.807203,92.081033
Coke,291,0.498711,0.573883,0.914089,57.369307
Couple,140,0.645536,0.221429,1.000000,47.521599
Coupon,327,0.786850,0.000000,1.000000,26.840667
Crossing,120,0.714792,0.050000,1.000000,55.582915
Crowds,347,0.725072,0.069164,1.000000,44.117413
Dancer,225,0.750444,0.000000,1.000000,26.813016
Dancer2,150,0.745167,0.000000,1.000000,23.120281
David,471,0.250690,0.866242,0.246285,25.975573
David2,537,0.762430,0.000000,1.000000,59.342912
David3,252,0.752480,0.000000,1.000000,24.467412
Deer,71,0.783099,0.000000,1.000000,23.678989
Diving,215,0.292326,0.813953,0.381395,28.574352
Dog,127,0.554331,0.307087,1.000000,30.113491
Dog1,1350,0.693981,0.010370,0.994815,44.780480
Doll,3872,0.602215,0.228822,0.926136,40.850015
DragonBaby,113,0.345133,0.690265,0.415929,86.793541
Dudek,1145,0.725786,0.037555,0.716157,82.823264
FaceOcc1,892,0.580101,0.238789,0.771300,99.061655
FaceOcc2,812,0.764963,0.007389,0.997537,123.160237
Fish,476,0.809664,0.000000,1.000000,26.094313
FleetFace,707,0.568388,0.401697,0.570014,25.396473
Football,362,0.705041,0.071823,1.000000,48.477949
Football1,74,0.801014,0.000000,1.000000,56.384737
Freeman1,326,0.237730,0.834356,0.407975,37.744327
Freeman3,460,0.352065,0.671739,1.000000,49.994657
Freeman4,283,0.159452,0.837456,0.346290,19.836537
Girl,500,0.554350,0.326000,0.870000,43.256941
Girl2,1500,0.331950,0.826667,0.654667,29.325812
Gym,767,0.260952,0.984355,0.966102,46.167026
Human2,1128,0.581627,0.353723,0.278369,46.935093
Human3,1698,0.041564,0.985277,0.031802,90.203375
Human4_2,667,0.575112,0.167916,0.862069,36.502869
Human5,713,0.376017,0.657784,0.995792,33.265934
Human6,792,0.277620,0.773990,0.662879,46.717018
Human7,250,0.721700,0.008000,1.000000,36.664647
Human8,128,0.672461,0.000000,1.000000,40.997336
Human9,305,0.170984,0.901639,0.314754,40.934815
Ironman,166,0.122741,0.891566,0.138554,32.743421
Jogging_1,307,0.604235,0.081433,0.977199,32.769862
Jogging_2,307,0.155375,0.824104,0.172638,35.709109
Jogging,307,0.604235,0.081433,0.977199,35.558227
Jump,122,0.075205,0.942623,0.057377,29.043862
Jumping,313,0.731070,0.000000,1.000000,66.801579
KiteSurf,84,0.303274,0.666667,0.333333,35.838459
Lemming,1336,0.229323,0.753743,0.274701,33.903860
Liquor,1741,0.681333,0.228030,0.846640,38.558213
Man,134,0.851866,0.000000,1.000000,102.031671
Matrix,100,0.035750,0.990000,0.010000,87.128916
Mhyang,1490,0.573591,0.430201,1.000000,58.957373
MotorRolling,164,0.103201,0.926829,0.048780,30.128148
MountainBike,228,0.714145,0.000000,1.000000,31.743786
Panda,1000,0.365000,0.696000,0.784000,44.729401
RedTeam,1918,0.504106,0.594369,1.000000,36.264232
Rubik,1997,0.470318,0.739609,0.274412,58.157079
Shaking,365,0.736027,0.065753,0.934247,79.219924
Singer1,351,0.850855,0.000000,1.000000,31.571970
Singer2,366,0.062910,0.964481,0.035519,33.580974
Skater,160,0.636094,0.093750,0.981250,38.829571
Skater2,435,0.521437,0.468966,0.602299,32.019542
Skating1,400,0.256000,0.807500,0.447500,35.263068
Skating2_1,473,0.087685,0.934461,0.101480,36.998685
Skating2_2,473,0.396829,0.676533,0.276956,30.735362
Skiing,81,0.082099,0.938272,0.098765,40.598510
Soccer,392,0.176339,0.867347,0.135204,35.554453
Subway,175,0.689429,0.011429,1.000000,67.233836
Surfer,376,0.516822,0.545213,0.986702,41.257950
Suv,945,0.715185,0.195767,0.800000,37.347464
Sylvester,1345,0.616617,0.227509,0.864684,34.944792
Tiger1,354,0.713771,0.045198,0.932203,33.565334
Tiger2,365,0.440411,0.613699,0.463014,36.055914
Toy,271,0.380996,0.734317,0.649446,38.124782
Trans,124,0.526411,0.612903,0.395161,36.983699
Trellis,569,0.641652,0.019332,1.000000,45.338108
Twinnings,472,0.355932,0.646186,0.413136,33.941318
Vase,271,0.402214,0.738007,0.804428,36.224202
Walking,412,0.630643,0.152913,1.000000,47.809088
Walking2,500,0.802600,0.000000,1.000000,32.542894
Woman,597,0.696566,0.070352,1.000000,29.237472
OVERALL,59347,0.516882,0.432170,0.754158,40.001948
